start_time,model_name,model_pkl_path,device,learning_rate,batch size,encoder_sequence_length,decoder_sequence_length,best_train_l1_loss,best_train_mse_loss,best_valid_l1_loss,best_valid_mse_loss,epoch_for_best_valid_loss,train_mse_curve,valid_mse_curve
2019-11-04 16:31:22.852943,EDLSTM_1D_tf,../rnn_model/saved_pkl_model/EDLSTM_1D_tf.pkl,cuda:0,3e-05,32.0,40.0,4.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-11-04 16:32:35.049367,EDLSTM_1D_tf,../rnn_model/saved_pkl_model/EDLSTM_1D_tf.pkl,cuda:0,2.9999999999999997e-05,32.0,40.0,4.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-11-04 16:35:26.637983,EDLSTM_1D_tf,../rnn_model/saved_pkl_model/EDLSTM_1D_tf.pkl,cuda:0,3e-05,32.0,40.0,4.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-11-04 16:36:01.883814,EDLSTM_1D_tf,../rnn_model/saved_pkl_model/EDLSTM_1D_tf.pkl,cuda:0,2.9999999999999997e-05,32.0,40.0,4.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-11-04 16:39:00.376203,EDLSTM_1D_tf,../rnn_model/saved_pkl_model/EDLSTM_1D_tf.pkl,cuda:0,3e-05,32.0,40.0,4.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-11-04 16:39:31.956441,EDLSTM_1D_tf,../rnn_model/saved_pkl_model/EDLSTM_1D_tf.pkl,cuda:0,2.9999999999999997e-05,32.0,40.0,4.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-11-04 16:40:37.809233,EDLSTM_1D_tf,../rnn_model/saved_pkl_model/EDLSTM_1D_tf.pkl,cuda:0,2.9999999999999997e-05,32.0,40.0,4.0,0.037828861837866296,0.002678493399828969,0.038174939588369684,0.003128732004637748,183.0,"[0.11622458055681432, 0.04276544229433782, 0.022521452142847734, 0.015680378955270132, 0.01289173541281162, 0.013023825422659566, 0.011614801314714079, 0.010661978771186053, 0.009635631627261903, 0.009460367052996344, 0.008849645301633631, 0.008427825797883462, 0.008139610310638961, 0.007745838783638075, 0.007411661310583469, 0.007003246024787294, 0.006584276039625703, 0.006235954528602288, 0.005948556984949069, 0.005721989074610545, 0.0055370167720802995, 0.005391595871749841, 0.005177682037449804, 0.004907288664388795, 0.004699143614869561, 0.004564594108186423, 0.004367194039456274, 0.004314730403860278, 0.004217990780309057, 0.004115069104804104, 0.0041291329054139216, 0.0041893756288853565, 0.004143118017130343, 0.004106760033662096, 0.004370728439438969, 0.004282906517161599, 0.004441308529695841, 0.0046376892457564555, 0.004652513744431245, 0.004586864288087732, 0.004719933365102433, 0.004794638074706551, 0.004987217642414329, 0.005019757914581725, 0.005072599678488029, 0.005154524486463472, 0.005162655256775229, 0.004921131214520926, 0.004949116366446134, 0.004955891459578997, 0.004915381690609998, 0.004898176358080369, 0.0049458309173416905, 0.005021792658963596, 0.004850195627840048, 0.004584885645706252, 0.004452344617117424, 0.004524562150499848, 0.004497192508426566, 0.004302131038510827, 0.004155008315576956, 0.004079120467001302, 0.003988750065843949, 0.003970540968823976, 0.0038928297859619674, 0.0037959935321500433, 0.003698201269398166, 0.0036292517749058413, 0.003565047150539649, 0.003514898513291126, 0.0034750361296689656, 0.0034650104362228813, 0.003418772454824245, 0.0034012772759901212, 0.0033823198487761444, 0.0032953010772221853, 0.003181716535113554, 0.0031023243514889005, 0.0031538272325768407, 0.0031375435646623373, 0.0030216127614710367, 0.0030623953835884005, 0.003141941446094162, 0.003145070080279248, 0.003125279505607174, 0.003188319123429499, 0.003272681753202687, 0.0032747506065003303, 0.0031874919484770657, 0.0031321865550561056, 0.0030839536555631215, 0.0031450240135890073, 0.0030984554517393312, 0.003068699103992552, 0.0030540818804132433, 0.0030285764277004044, 0.0030209477575741306, 0.0030180060826572007, 0.00294744532108245, 0.0029124161731327986, 0.0029621707062275123, 0.0030252341538665618, 0.003078482212145026, 0.0031066625979796034, 0.0030349645248468828, 0.0030130295316015236, 0.002974993497461229, 0.00293169164765061, 0.00295422326684192, 0.002843114510173409, 0.0028322223438040773, 0.0027936010118439825, 0.002769088388187553, 0.0027764636391757317, 0.0028830487327495486, 0.0028680188461193447, 0.0028823256374781296, 0.002849192515449807, 0.0028434443296060166, 0.00280363154845108, 0.002780877596106698, 0.002769170649987073, 0.0027533515499840806, 0.00272918459964485, 0.002759117640066038, 0.002751532024786429, 0.0027611425895747188, 0.0027925171198350186, 0.0028102252610978707, 0.00282151106918274, 0.0028652621033227075, 0.002839643437289535, 0.002886451013718349, 0.002898688415340782, 0.0029165130562395485, 0.002872651099569782, 0.0028590109182010143, 0.0028374789210226167, 0.002833417474327285, 0.00274909276436346, 0.0027913094653179696, 0.0027958373023467273, 0.0027751686606620122, 0.00288211994166027, 0.0027782529015465333, 0.0027676777128266337, 0.002763455501470843, 0.0026808839861421144, 0.0026948075853174725, 0.0026741793358818124, 0.00271045224798342, 0.0026841392923158862, 0.0026966093709085916, 0.0027448597051108366, 0.0027726699379226347, 0.002829294923962644, 0.0027902210451010716, 0.0028181202664036933, 0.002797992927474016, 0.0027851802061011773, 0.0027924309755909616, 0.0027700325374616307, 0.0027725109695132043, 0.0027529263504340435, 0.0027407017218800942, 0.0027095428546777167, 0.002705493742720753, 0.002697329857600141, 0.0026646430442622293, 0.0027947063964677116, 0.0027481327334868567, 0.0026610293912939552, 0.0026971883779177124, 0.0026550623840948407, 0.0026875361071792272, 0.0026468818250255594, 0.0026957072140463318, 0.0026624269710269943, 0.0027161802028296544, 0.002693008838256497, 0.002624144190551088, 0.0027228105737975203, 0.0027433456960036227, 0.0026784933998289695]","[0.06067392639541889, 0.04343013311325408, 0.027461282138520962, 0.01931838655453997, 0.022063013946856645, 0.020290359375340974, 0.01990618268695578, 0.018986892823116195, 0.014257275985608645, 0.014785374314455754, 0.013799885253641097, 0.015768932135816774, 0.018161365491858518, 0.016655795729842365, 0.017261581569019815, 0.014368679533671477, 0.013545543976600611, 0.012217581736930536, 0.01170786186669241, 0.012885361808858922, 0.011847841859836242, 0.012374817227657117, 0.011528004821978839, 0.009695680611698395, 0.008861826986129232, 0.00826934665982502, 0.00882012998815352, 0.007940195697729531, 0.007006140112507102, 0.008647369800361475, 0.006771546791081645, 0.006524305640863638, 0.009316709435284686, 0.006687921478741747, 0.00710796084946624, 0.006572117295410649, 0.01228409652813913, 0.011102000363547738, 0.00711574070780497, 0.006325750445659437, 0.0064550444418701395, 0.006927383399349363, 0.007379347473889699, 0.007235287630464882, 0.00806171257435755, 0.007131590127862771, 0.009394194348715246, 0.010336363718071132, 0.009429298308746451, 0.015769724728135558, 0.010204543090795222, 0.01287593757682343, 0.007775649320512243, 0.007029028834521715, 0.00753909200840794, 0.0103485240285997, 0.008825891087968451, 0.008184708897127113, 0.007804200508604374, 0.011318360123208122, 0.010465015783933374, 0.013880492812056807, 0.009697453568258104, 0.011087729908039738, 0.00967159633000847, 0.007996902808800395, 0.01018924665164805, 0.008688958575743633, 0.008706162764985278, 0.009471003573922002, 0.009207970801713494, 0.009280140380724333, 0.009455016220967723, 0.008119237795814542, 0.007311429388851941, 0.006550405766414341, 0.005310903276361334, 0.005781821260290385, 0.006120396690675989, 0.005350087110213388, 0.004897501445478103, 0.0056222369569107235, 0.008049013775769923, 0.006322266724429724, 0.0049577483715599075, 0.005129336109830011, 0.007253198290367008, 0.005774489547441001, 0.005096381746732411, 0.00433097385094323, 0.004798456884386456, 0.005022330841765164, 0.005029834998233984, 0.00531860365299508, 0.005625367521561737, 0.007401352796210524, 0.00738974818822873, 0.005601471542510861, 0.004516640179431038, 0.004768559621023836, 0.0043952585966668695, 0.004985851056784775, 0.005046225337804679, 0.007067391530761276, 0.005622040448703475, 0.005046983891481753, 0.0045644210408414335, 0.005625821571276688, 0.004174245249647784, 0.004948669289553757, 0.00450874818060958, 0.005017259438104434, 0.004343100661678952, 0.005638024423045435, 0.005044913247248213, 0.005425762080395704, 0.005148629531236913, 0.006055984934552244, 0.004550397558726699, 0.005019878266680548, 0.004716055192094406, 0.005792893987210632, 0.004723762169733699, 0.004699413762222428, 0.004442335175340036, 0.005328877379617873, 0.004417798702728332, 0.004216960288912934, 0.004187216589771732, 0.004142819508321255, 0.0045019327008049, 0.004591672399221673, 0.004286007596152451, 0.005452269276515033, 0.004790383477537783, 0.004615851016270052, 0.00622230154926108, 0.004504402787407504, 0.004572408124016982, 0.005405420769581243, 0.004643698326510596, 0.004991441937711309, 0.0050729240225764975, 0.005161521001890137, 0.004231916715712834, 0.005036606755525367, 0.004072146047666834, 0.004199038121013847, 0.004253819965764277, 0.004401793696588892, 0.004393843196928227, 0.0047852224995628655, 0.004020040547937456, 0.0046282661094343945, 0.004058087640955551, 0.004487729453317383, 0.0036546493193942726, 0.004241203510900959, 0.004516474196005969, 0.004823122303658987, 0.004410056314715321, 0.0044984212299288414, 0.004243450991720345, 0.004318436047897729, 0.004491370594598052, 0.003845984264711767, 0.0043019410757765665, 0.004261749762329547, 0.0037305404009256404, 0.004218928125149379, 0.003987581377955126, 0.0037207968005746163, 0.004029068934066933, 0.004273574472309145, 0.003226193987596643, 0.004536168321946581, 0.00398991428408087, 0.003788477566986865, 0.004361276096246643, 0.0034991301817011416, 0.00377168147764785, 0.004120407602064969, 0.003502960523131632, 0.0031287320046377476]"
2019-11-05 11:08:30.437308,EDLSTM_1D_tf,../rnn_model/saved_pkl_model/EDLSTM_1D_tf.pkl,cuda:0,3e-05,32.0,40.0,4.0,0.14473862317313388,0.03899498181757935,0.1676655749735587,0.06939710797194172,399.0,"[0.10863326279939475, 0.032459488333484464, 0.020664874169303068, 0.01583162873801863, 0.013378410903862775, 0.012097765443019428, 0.011269978458497051, 0.010750934733273843, 0.010076837918173485, 0.009712375147146474, 0.009407467500678989, 0.009291129401273374, 0.008938792549178896, 0.00847124663317743, 0.008153376701171382, 0.007910741562465183, 0.00759004590674979, 0.00715884801509851, 0.006840966609930609, 0.006533252965640338, 0.006351219585313898, 0.006164549868749836, 0.005998231212227942, 0.005891904951169146, 0.005647080336003291, 0.005525606047261015, 0.005330301223555838, 0.005247851991499975, 0.005162895167997295, 0.0050636128332168856, 0.004857943349972714, 0.005039461114849165, 0.004871815274152925, 0.005060211899210745, 0.004922176784488186, 0.005054398909482408, 0.005180436251984119, 0.005082021140960661, 0.004973063383618594, 0.00497115297208964, 0.00498244215570316, 0.004986493440875052, 0.004966486148703287, 0.004915805537911629, 0.004946674797957266, 0.00495265904274601, 0.004958731460602643, 0.005163735229081597, 0.005278800215426697, 0.0052464563852838205, 0.004944601462347431, 0.0050278393348528365, 0.005212806351637573, 0.004954131816463299, 0.00482938920430311, 0.00507933076611356, 0.004603673857641906, 0.0046811933816923185, 0.0047069637143287235, 0.0043449476987828944, 0.004504298578957065, 0.004459570529164204, 0.004211057526841223, 0.004382378524602499, 0.0043353848575726816, 0.004131517340150659, 0.004307185378980721, 0.004360382525603042, 0.004112953826932573, 0.004192174972212385, 0.004164007332372961, 0.00393001467352042, 0.00394625471495422, 0.003981876856511292, 0.003915944323227313, 0.0038691637735888116, 0.0037616726902137167, 0.003891442339905514, 0.0040187659349286324, 0.0038150012563266363, 0.0037257650511025773, 0.003850676686191521, 0.0039347363893738885, 0.0037983817794563397, 0.003744941166110114, 0.003830096747567372, 0.004025865511469552, 0.0038955534125316234, 0.0038691132031855556, 0.0039628405307789855, 0.003962923547279828, 0.0037779812671394726, 0.003676031812600552, 0.0037540284970131676, 0.003808401124335306, 0.003760685080250855, 0.003700211933341624, 0.0037622843512693876, 0.004007919062886094, 0.004110647440353741, 0.003970717431890757, 0.004009971093073908, 0.004252100504155076, 0.004143316089871813, 0.004142213620401193, 0.0044279707924969255, 0.004135170618096905, 0.004290531417262118, 0.004236720296748164, 0.004094911506399512, 0.004277166530282617, 0.00410936545562061, 0.004151362137805056, 0.004227175313880376, 0.004000306895630824, 0.004154609806076567, 0.004102396647778989, 0.003923492490547036, 0.004090115990580481, 0.004045570920147249, 0.003864641368243707, 0.003950442784648401, 0.004062192827171273, 0.0039295767905017315, 0.0040209724545656215, 0.004112351901059844, 0.0038519993572416465, 0.003853015956553452, 0.004039582085268673, 0.003876852533617083, 0.0038324055575960597, 0.0038748719460812552, 0.003852130812958939, 0.003781946864188468, 0.0037974909839817504, 0.0038824777263510614, 0.003917477697759025, 0.003763874698660294, 0.00383442928235883, 0.003978941442237616, 0.0038216982444476003, 0.0038092451171118226, 0.003982881446480379, 0.0037369862441716103, 0.003916076825651137, 0.003727649476875243, 0.003735105361524404, 0.003957281885065287, 0.0037315158179372235, 0.0037936237888206476, 0.0038489148042402986, 0.0037349161329954567, 0.003740662958339921, 0.003755709030438557, 0.003789348299470694, 0.00366211927752191, 0.0035776569896582865, 0.003645731061815613, 0.0036266973413112405, 0.003700973046788841, 0.0036425389178511855, 0.003633870448373621, 0.0035985275053090167, 0.0036333557464551607, 0.003610715673435046, 0.0036381778085773455, 0.0036338005197654216, 0.0037224328136102503, 0.0039141586800451374, 0.004308708573424423, 0.004295298138402345, 0.004264760722487686, 0.006059890794093336, 0.0049658120214807104, 0.004986023924861141, 0.005815279823733062, 0.006371970655234657, 0.005351284900958653, 0.0070890743691001835, 0.0056329211083489365, 0.006078885881599464, 0.006031257343289761, 0.010144778733334586, 0.006590273354773885, 0.006758937725110406, 0.0068889267258923645, 0.007593829203592995, 0.012801559287167731, 0.007572562470392697, 0.011949347065769935, 0.011050709283983919, 0.008657529341120887, 0.00764930025073117, 0.0077302985505437105, 0.007840394305172535, 0.009030116552070344, 0.00903369868890994, 0.00918367743061016, 0.010268945735028366, 0.010760380518813499, 0.012185651640348953, 0.013085454052617384, 0.01310364270927271, 0.012910690137978275, 0.01463394328757939, 0.01346813226020704, 0.01460707348287683, 0.015282369150180919, 0.01376351365326581, 0.013359720106025206, 0.01375157081811861, 0.015761946631205635, 0.01768542522696545, 0.018189877529493467, 0.020845344904315135, 0.02091576212528239, 0.021479379712136776, 0.045152195091931725, 0.029320188064194168, 0.030762231666367844, 0.030615656805799186, 0.13040593347242999, 0.19010954833324434, 0.38938268652167235, 0.23094276836964972, 0.1097264879858606, 0.148952368479779, 0.09680507266079205, 0.09197543315581178, 0.08157561637114646, 0.10857134748142984, 0.10840922181936989, 0.10545995963710553, 0.10242354017935058, 0.1066269016353329, 0.12118858800930768, 0.11646347003034908, 0.1322324440617564, 0.14838502680055657, 0.1706115947860981, 0.1983085854983541, 0.21591850339021462, 0.1959828042393243, 0.22228948171492893, 0.20974834809741902, 0.19627342634068046, 0.1977939174932367, 0.2012985074275884, 0.21309954482455587, 0.1894091503325425, 0.1924875889505659, 0.188493233262783, 0.18138813310130555, 0.18019226880523387, 0.17011308885805498, 0.19047020145734217, 0.17278309487392207, 0.1717019265544408, 0.1862662096413993, 0.1828888062334074, 0.16443417593836784, 0.1604776762132992, 0.15299585586205405, 0.14233239717855803, 0.13689127819589933, 0.12849083831812258, 0.13062442315624798, 0.12850746355439274, 0.11053306165905226, 0.10724943841406344, 0.10841927853137552, 0.0993349132780914, 0.09693204339672033, 0.09860229816448648, 0.0941812553023249, 0.09073714048685227, 0.08785270332902306, 0.08583301415095562, 0.08166171602929549, 0.07981276906539964, 0.07752149971253584, 0.07529779436357592, 0.07310911532437815, 0.07310911901460203, 0.07193274058376832, 0.07079057504370363, 0.0693484873408792, 0.06925429128407441, 0.06875126675835677, 0.06747778643702351, 0.06731343247276934, 0.06723009123325611, 0.06775167854843148, 0.0653364653755825, 0.06285260394958167, 0.06135987854693683, 0.058505854312565636, 0.05840445394036778, 0.057757370778311, 0.05760314001816254, 0.05680369891449066, 0.05675053365264554, 0.05790234785341345, 0.05748144616419295, 0.056782558762518934, 0.05511351349502637, 0.05403622339251694, 0.05311551654622668, 0.05272276499045648, 0.053667354740920256, 0.05323743843086732, 0.05307573676191823, 0.05267205879975065, 0.05228057714098712, 0.05217110287451731, 0.0515579954821076, 0.05093236763446962, 0.050741503314256406, 0.05048065086783365, 0.049677790539671286, 0.049266514177552755, 0.04932115430266061, 0.04859386172851059, 0.048199358830436786, 0.04831312364740823, 0.04750527158288795, 0.04725048635959427, 0.047329554901533614, 0.04782126942115237, 0.047833554003210293, 0.04717989989318127, 0.04689045840769115, 0.04670130212895432, 0.04695607063588444, 0.047096874610266154, 0.04642373901623758, 0.04593624183258345, 0.047328464325892834, 0.047079440158846506, 0.048008325077585075, 0.047432192831257915, 0.04684244828960824, 0.0468327183779721, 0.04675413701778169, 0.046698194112657576, 0.04616094873403328, 0.045853210047943516, 0.04544164238916349, 0.04655216126016868, 0.046062259799733773, 0.04568767675702952, 0.04550642152404534, 0.04557377772028264, 0.04581687192031381, 0.04587265395106601, 0.045367197513143026, 0.04499655212806837, 0.0451751087182681, 0.04535608105196443, 0.044980130815344264, 0.04508052301796304, 0.045233134671237116, 0.044877016869428285, 0.045256244702468876, 0.04502004033608459, 0.04496237928313868, 0.044491702112124804, 0.04412293602461831, 0.04368318091966583, 0.04332939695240981, 0.043260052267994197, 0.043096323211905305, 0.04268023324459956, 0.04253577873737841, 0.042412749690685425, 0.04220415487811217, 0.04261567514567148, 0.042761574786028524, 0.04231869249376711, 0.041955037335406245, 0.042222268819594434, 0.04171958570765664, 0.041156228606982086, 0.040879090670351836, 0.04000051339607632, 0.039763125703398836, 0.0399143987160964, 0.03963184665789537, 0.039345771577601156, 0.03920849248073822, 0.03902410764498832, 0.03918291649606867, 0.0396336755165593, 0.039707430232015097, 0.03924736451534998, 0.03947894501985605, 0.03886891856731833, 0.03894983633222308, 0.03859761771297336, 0.03899498181757935]","[0.04704134712023113, 0.028579084031448206, 0.029560095428571326, 0.021183275881305558, 0.028612510855857504, 0.02333205651067307, 0.03030702719800448, 0.023392333253629178, 0.023617132964050946, 0.022242419245337847, 0.02555404826296795, 0.024858516798464254, 0.02580127445724108, 0.02475899165523622, 0.024108321429059075, 0.02286496669951114, 0.02331405653967522, 0.0216358726423042, 0.019926346352269107, 0.01970584304859478, 0.018355660328833276, 0.0181807985277641, 0.01978229396884083, 0.018778341556111734, 0.017375111232361046, 0.01730084085241234, 0.017546496489290696, 0.01884523275657557, 0.016108878571471637, 0.016320631496080963, 0.0167113596749807, 0.015787312507574612, 0.014371292240171255, 0.013311564656118314, 0.015165365677710404, 0.018161864388864215, 0.014431366669561933, 0.012883573521428522, 0.012634899563101284, 0.01313919700538356, 0.012317322043065146, 0.013128111675648731, 0.012620784837054089, 0.01280201691620545, 0.013000812586088775, 0.012252905298202462, 0.012966880742597449, 0.012012464053387864, 0.014612762074273847, 0.015310299919185448, 0.02009858919721891, 0.013612352469970253, 0.013247647500761291, 0.01259021918368115, 0.012631293123430462, 0.0140100429613513, 0.01784946780603872, 0.012216614158687127, 0.012879400321467342, 0.011375897197628064, 0.012217891778324401, 0.014228900664260009, 0.012895180277101806, 0.010494155231486623, 0.011257723568740082, 0.009599995082038838, 0.010395025598186561, 0.011777553094468792, 0.013110841081737924, 0.009210482612081036, 0.009706158309092964, 0.009236196348758633, 0.009179973372203462, 0.009356217458844185, 0.010502388819826165, 0.01184655113320332, 0.011028372936861534, 0.010536314206547104, 0.00848776037181618, 0.009303668607197538, 0.00899721353112802, 0.008786365349592148, 0.010005254806053606, 0.01154666165872614, 0.012147231342490105, 0.010391981519847725, 0.009606371551532955, 0.010913008894182412, 0.011200467809377349, 0.009846326394301072, 0.010091113150017062, 0.011615154444692, 0.01118161177916644, 0.009369308661381878, 0.008023019144756664, 0.007698356606210034, 0.008653737332411659, 0.008632358048891868, 0.008454555885263663, 0.011171743721420439, 0.012554457732168137, 0.011709870420471655, 0.010969975970938857, 0.011480421047000325, 0.011182820250670536, 0.013536337592728053, 0.015368146665209411, 0.012932716303861098, 0.01189898322627414, 0.010973797732731327, 0.011661579873522414, 0.013737079795271926, 0.010615250411587219, 0.009745156413854976, 0.010124193044783384, 0.010162120112320682, 0.011717540150343934, 0.012312891418011585, 0.010293712928507696, 0.010439305847017643, 0.00975125228304772, 0.009818504228058052, 0.011461074781169266, 0.012650117831927835, 0.012147337633102913, 0.009980042197104707, 0.009838316206108122, 0.00942889358916813, 0.010994297747589265, 0.012354829693589742, 0.011335443059900118, 0.008686026651583448, 0.009561431525713381, 0.00876191585762974, 0.008646610906854382, 0.009409820870667532, 0.010619689898757154, 0.011226748403928736, 0.010538192909306791, 0.009008647482807967, 0.009151443472707315, 0.00919938247620046, 0.011359595727887662, 0.011435522000230028, 0.009653502207263099, 0.010066971296670517, 0.007809805629007956, 0.009079798267681754, 0.01080118381736718, 0.007993662494460723, 0.008426982629530625, 0.007455247118795181, 0.007268600407234558, 0.0070763588061227515, 0.008813863401027286, 0.00816999891300357, 0.008005802578683122, 0.00737572685466148, 0.006673357717826387, 0.006999135612311554, 0.007214317864375463, 0.007681710794499582, 0.007760620123008266, 0.006136835611815674, 0.0066232012511189915, 0.008410880052799578, 0.008639930104597142, 0.010323623937438242, 0.013057492146104136, 0.01117086065470871, 0.010650849419214544, 0.012005905418738942, 0.04005372250086272, 0.011359926715479507, 0.014372090403305586, 0.010813776437049349, 0.015311571605065289, 0.01113328491748475, 0.028139905136092293, 0.023581430363907096, 0.012913135533488137, 0.014276390112012023, 0.01986248945211307, 0.014120958953486373, 0.01655162095609258, 0.019315549129661283, 0.0181362735636546, 0.017723369733978284, 0.01882390026773518, 0.029634548016474582, 0.02286298630368786, 0.018470024741391707, 0.018337361868950266, 0.03436086942126755, 0.01923519087551326, 0.024527485365979373, 0.021039388908641685, 0.02472605024676715, 0.028029666253132746, 0.030783380657393375, 0.03722435654045137, 0.034772474068792206, 0.03954778324388077, 0.03818895416128833, 0.04045145992559435, 0.0394108688513584, 0.040189691202934176, 0.035053826197433996, 0.03140169826527948, 0.030551323567873195, 0.03275876457850887, 0.04907869276768692, 0.04122113647377666, 0.04149870486820445, 0.043483661395251096, 0.06716336737222531, 0.06438184632262324, 0.07084374437587992, 0.07866052152616355, 0.08656367408933446, 0.08773330449784066, 0.12135679317939588, 0.128467660945128, 0.1407620858757154, 0.13833400771460114, 0.1520352907519897, 0.14734760538318797, 0.15755103475085513, 0.1840715479475501, 0.20747554669266238, 0.21698659946731128, 0.2103050675462274, 0.276604554068078, 0.25324102142579197, 0.264250575174468, 0.28688614716178135, 0.28145632035482454, 0.29515934458194193, 0.3718963089015554, 0.4112847415894708, 0.4232291842619067, 0.4323606220594443, 0.369451531140572, 0.3705965911503881, 0.34908134377260197, 0.6196633633500075, 0.406364410663681, 0.6121097090517116, 0.4615152458906831, 0.6375396374119994, 0.4526278287144926, 0.6540279814781731, 0.45533208724330454, 0.43138017524581623, 0.5721624506199184, 0.45834397093173773, 0.4701921563075088, 0.5974919295404106, 0.603678353541695, 0.6123644022873658, 0.4167550216182409, 0.42487675547325876, 0.2813814785468447, 0.2790875074946705, 0.2527772397186388, 0.28414569337003154, 0.3109489906688823, 0.2601972337990232, 0.2631848532816066, 0.21877365924335798, 0.20215631736552014, 0.18858039408566102, 0.16839822747415917, 0.1611112243742408, 0.14920580836341663, 0.1626982854350525, 0.14064830240300474, 0.14537262830280645, 0.1468709459500935, 0.14434997655232162, 0.1336572916548261, 0.1302252391298466, 0.11639183539185016, 0.11118645542849075, 0.10544664396986585, 0.10471763765192865, 0.10013244488030015, 0.10169036965817213, 0.09801184879068066, 0.0971812102053424, 0.0904096378123059, 0.09213425245081239, 0.0816604065886863, 0.08315725364338826, 0.08183940964312676, 0.08095808967482299, 0.07953933251829927, 0.08013335653745077, 0.08122173218768747, 0.07972585380433456, 0.08040117140968933, 0.08268332821043099, 0.08110042071134291, 0.07912629522273645, 0.07680340493371819, 0.07644099694238428, 0.07364481949822649, 0.07580915874089389, 0.07395900904392715, 0.07542380989145707, 0.07464635229724295, 0.07508985383216948, 0.07126043643802404, 0.06953031109536395, 0.06510538829024881, 0.07056177143171868, 0.06976204353850335, 0.07552051442497246, 0.07618208226802595, 0.0785503730225815, 0.0792660049696946, 0.07582833480281646, 0.07142844536643037, 0.06976742431630983, 0.06837423705934163, 0.06619835508685998, 0.06758983550346731, 0.06797181640970795, 0.0692584930357578, 0.0706671431509997, 0.07304281057269477, 0.07459685806294575, 0.07435721443856463, 0.07874333488015349, 0.07558671230285921, 0.07362022603560678, 0.07261592740713455, 0.07639999034376267, 0.07268463496995323, 0.07362749966491453, 0.07419832209672998, 0.0776906525990104, 0.07850628283888321, 0.0761800056515152, 0.07594438763472307, 0.0749214583021753, 0.07497228764901485, 0.07751909636563677, 0.0769661193343756, 0.07274982370847069, 0.0750122808111722, 0.07762421240947921, 0.08057243723477073, 0.08331238715361584, 0.0772762302076444, 0.07991479336530627, 0.08286654671161052, 0.07805386132916764, 0.07876131003585589, 0.07487867793807869, 0.07700652594897239, 0.07829917358535834, 0.07782019717235338, 0.07950143833124243, 0.07707006799276261, 0.07446151743095149, 0.07251590268809677, 0.07134784216417328, 0.07068657758645713, 0.07175417723791565, 0.07309700682184056, 0.0717951748314697, 0.07222756521557183, 0.0723530308014768, 0.07326902288888745, 0.07500096774139606, 0.07530595167019569, 0.0743635300656452, 0.07691324057797079, 0.08121655973167542, 0.07746397392303847, 0.07746665597455028, 0.07768739355892382, 0.0782367151696235, 0.07792963569655138, 0.0749766899697373, 0.07016183440025676, 0.06554303550407947, 0.07129192250945113, 0.07968106211217887, 0.07129704368793789, 0.06782093876287998, 0.07289133636582204, 0.08165843347909257, 0.07337902775993023, 0.06959026699255713, 0.06803922149736215, 0.07470421940910027, 0.07440060841412667, 0.06939710797194172]"
