start_time,model_name,model_pkl_path,device,learning_rate,seed,batch size,encoder_sequence_length,decoder_sequence_length,best_train_l1_loss,best_train_mse_loss,best_valid_l1_loss,best_valid_mse_loss,epoch_for_best_valid_loss,train_mse_curve,valid_mse_curve,num_hidden_state,num_layer
53:50.4,EDLSTM_nD_notf,../rnn_model/saved_pkl_model/EDLSTM_nD_notf.pkl,cuda:0,3.00E-05,2017,32,40,4,1000,1000,1000,1000,0,"[1, 2, 3]","[1, 2, 3]",,
09:51.6,EDLSTM_nD_notf,../rnn_model/saved_pkl_model/EDLSTM_nD_notf.pkl,cuda:0,3.00E-05,2017,32,40,4,1000,1000,1000,1000,0,"[1, 2, 3]","[1, 2, 3]",,
38:21.9,EDLSTM_nD_notf,../rnn_model/saved_pkl_model/EDLSTM_nD_notf.pkl,cuda:0,3.00E-05,2017,32,40,4,0.027603592,0.001366016,0.029676424,0.001734787,37/50,"[0.00158097060488403, 0.0015669483295352009, 0.0015323431860497106, 0.0015142139704011762, 0.001504133194607694, 0.00150028985643561, 0.0014879300352765626, 0.0014613018577910681, 0.0014106384443890762, 0.0014190756561901848, 0.0014672499692826217, 0.0015169915431282157, 0.0015107089341077104, 0.0015159412600353804, 0.0014753801747190444, 0.0014899286189835317, 0.0014777391816310347, 0.0014819422380755274, 0.0014502792608702651, 0.0014752710465455161, 0.0014466490213473277, 0.0014287279504976065, 0.0014533023846678354, 0.001425669501493086, 0.0014128580296226619, 0.001434428439514884, 0.0013962098337577226, 0.0014119401507634787, 0.0014021747266869853, 0.0013930377972931865, 0.0014042754897964991, 0.0013771285422089642, 0.001401095890441979, 0.001391746143856824, 0.0013688996450796486, 0.001378293267359769, 0.0013887892131188712, 0.001366016187142828, 0.0013551137212536363, 0.0013670638978273903, 0.0013690910190678773, 0.0013555495959982266, 0.0013358803037818094, 0.001329956931753772, 0.001326275385840877, 0.0013280325577424306, 0.0013301243007577245, 0.0013139362286429795, 0.0013021759240904804, 0.0013102607690132794, 0.001315083836474524]","[0.0020441661845475886, 0.0018040512004115963, 0.00180459223483118, 0.0018525764893467709, 0.00190653075922013, 0.0018726744546261693, 0.001864502922624082, 0.0017665483006687824, 0.001772281331414079, 0.001773706987533636, 0.0018732337797580298, 0.001865602911061489, 0.001814582947904028, 0.001960686862067376, 0.0018649216595321935, 0.0017642842583841958, 0.0019170134849280365, 0.0017751671456814183, 0.0018356100486293023, 0.001910215270067488, 0.001748833012605055, 0.0018512689896334395, 0.0018707163669220404, 0.0017550218434237684, 0.0018356126702251685, 0.0018355248683101359, 0.0017531162950477836, 0.001845408563221707, 0.001743258694534123, 0.0018266688585950278, 0.0017831682778112795, 0.001791390989140417, 0.001869487050388173, 0.0017527901137875425, 0.0017589161076675586, 0.0018653111382469906, 0.0018149915515337119, 0.0017347874155895816, 0.0017768749796775124, 0.001845100676211225, 0.0018823479648900749, 0.001799203427791472, 0.0017671934062054185, 0.0017403800111876297, 0.0017692076569057755, 0.001851041961746877, 0.0017986473799760335, 0.0017786897916362225, 0.0017351381688440496, 0.0017968477499259647, 0.0018318941487380153]",,
39:51.9,EDLSTM_nD_notf,../rnn_model/saved_pkl_model/EDLSTM_nD_notf.pkl,cuda:0,3.00E-05,2017,32,60,4,0.02761068,0.001384026,0.029721583,0.001737807,8/40,"[0.001578801925312805, 0.0015682476619290771, 0.0015202785289550969, 0.0015125604558586456, 0.0015024550377141035, 0.0014884197325677898, 0.0014815030648847758, 0.0014250037898702955, 0.0013840263855348178, 0.0013732756419498164, 0.0014536463230018894, 0.0015300980235715693, 0.001555250275482158, 0.001536276820067373, 0.0015093312286604144, 0.0014935294664439093, 0.0015116204838836024, 0.0014721380515730943, 0.0014837079797065211, 0.0014757253170765451, 0.001443334975827439, 0.0014285118852153812, 0.0014456748139916808, 0.0014078151503186982, 0.001428336709259862, 0.00142279926387895, 0.001404523508303342, 0.0014095817595995044, 0.0013801810553992668, 0.001399266657950305, 0.0013776175804188543, 0.0013907599244995553, 0.0013721161941195375, 0.0014012384077971363, 0.001364219245333818, 0.001395688078448775, 0.0013641347973046365, 0.0013627272380297936, 0.0013804043030625575, 0.0013749714845009767, 0.0013483341324073456]","[0.0020455455595058286, 0.0018020135593057299, 0.0018030807265960094, 0.0018464029973579777, 0.0018947989974145052, 0.0018909550650278105, 0.0018753970937622298, 0.0017654636218341895, 0.0017378068380316512, 0.0017794844309618283, 0.0019171939283195469, 0.0020468069437710153, 0.001950749187057631, 0.0018598889210908157, 0.001960801353238316, 0.0018422503726065365, 0.0018982253955780633, 0.0017856383298446115, 0.001947820907096482, 0.0018468352105830692, 0.0017621275470850782, 0.0018707757922432696, 0.0018251248845545989, 0.0017902297129492378, 0.0018662207501216068, 0.001767568964148975, 0.001857907822704874, 0.0017894459458249103, 0.0018100253254589107, 0.0017596593230134912, 0.001846800130766092, 0.0017666825575159036, 0.0018500650198095374, 0.0017691347835352643, 0.001810491927123318, 0.0018450628723561144, 0.0017437500937376171, 0.001829998698990999, 0.0018931541753570652, 0.001770117629914441, 0.0017503643692988488]",,
40:03.5,EDLSTM_nD_notf,../rnn_model/saved_pkl_model/EDLSTM_nD_notf.pkl,cuda:0,3.00E-05,2017,32,100,4,0.028011972,0.001409303,0.029594938,0.001739438,23/40,"[0.001586803182637921, 0.0015454722555314194, 0.001528420538839144, 0.0015148745343378446, 0.0015118093395007622, 0.0014872344667040296, 0.0014242828114316042, 0.0014002476483822416, 0.0014490500868662376, 0.0015189104861077361, 0.0015298902746076837, 0.0014876237227264973, 0.0014790558612559266, 0.0014671163940085318, 0.0014499151569322248, 0.001438814541841657, 0.001424757693829622, 0.0014259731782123642, 0.0014124972574301735, 0.0014079793839296907, 0.0013923577721464484, 0.001422635564094877, 0.0013860276301685933, 0.001409302567178319, 0.0013800372066681535, 0.0014018222226066341, 0.0013659190969902055, 0.0014002207612060786, 0.001363821043106553, 0.0013735500410885064, 0.001376873623284585, 0.0013480560857952468, 0.0013460315833864127, 0.001359394100467557, 0.001343405266804556, 0.001325679359435725, 0.001336467872314341, 0.0013329250367142612, 0.0013168913042773435, 0.0013125316348397038, 0.0013197108967734782]","[0.0020140458985138166, 0.0018916704006461875, 0.001858155006691085, 0.0018125864889800506, 0.0018134689353297168, 0.0017733128468880649, 0.0017622630261457082, 0.0017506540811480175, 0.0017628622037754004, 0.001919448881685817, 0.0018563528900300075, 0.001815452611115475, 0.0018056209668043646, 0.001841557616700923, 0.0019276882151100139, 0.0017803683359951155, 0.0018560930630634408, 0.0017599572307903674, 0.0017549414792509136, 0.0018381894037372032, 0.001815058295510959, 0.0017961218000998376, 0.001871630024911534, 0.0017394378925049314, 0.001865273212439084, 0.001786512537994656, 0.0018068705727710445, 0.0018420308082385312, 0.0017582724048423076, 0.001877434182633755, 0.0018006321393973168, 0.001752889528805546, 0.0018152785682582489, 0.0018442152048507964, 0.0017517493229994145, 0.0017696504937042613, 0.001851298282763208, 0.0018301134725496715, 0.0017790288482948764, 0.0017481161851836523, 0.001868516104308857]",,
40:14.0,EDLSTM_nD_notf,../rnn_model/saved_pkl_model/EDLSTM_nD_notf.pkl,cuda:0,3.00E-05,2017,32,20,4,0.027916368,0.001408111,0.029416804,0.001727469,27/40,"[0.001577515060690525, 0.001544327786991769, 0.001530885410035873, 0.0015119034847603514, 0.0015128302619115898, 0.001490643862760317, 0.001438347277686885, 0.0014205492786273299, 0.001427556323601468, 0.0015682065315147122, 0.0015944602585864609, 0.0015270356646834137, 0.0015179952580831656, 0.0015312680560234902, 0.001487839794720945, 0.0015210561280316309, 0.001502123559154287, 0.001469767633719416, 0.0014788090800178283, 0.0014744308977021235, 0.00146335613994553, 0.0014307855760121657, 0.001458030904515245, 0.0014250420333974537, 0.0014550019896882509, 0.0014115476852008888, 0.001427605858722892, 0.001408111363377947, 0.001403575491684988, 0.0014277199647924478, 0.0013945137682172743, 0.0014046264074463655, 0.0014025617891907157, 0.0013990482912451616, 0.0013716351253736908, 0.0013942302490722192, 0.0013735396485230293, 0.0013649005273862571, 0.001373299563307449, 0.0013424071826771396, 0.0013541821183769278]","[0.001993952094830552, 0.0019040592475333712, 0.001868764517744389, 0.0018088578660383943, 0.0018027832576170933, 0.0017811289993575313, 0.0017782669360263293, 0.0017554770101624244, 0.0019430744993899549, 0.002085782229966883, 0.001975303276564803, 0.0019878116391527536, 0.0018402239836107653, 0.0018352102162060584, 0.0018803125450766267, 0.0019520157986515007, 0.001828993405829501, 0.001766151103196195, 0.0018186441195391855, 0.0018784509796475235, 0.0017951926357844578, 0.0018110934710181268, 0.001834617334719911, 0.0017905661549705726, 0.0018446587578132543, 0.0017632211764486362, 0.001874022173649212, 0.0017274687873266106, 0.0018581939227290574, 0.0018250094141406877, 0.0017319601208258134, 0.001846820484478395, 0.0018036137901087917, 0.0017336559217105937, 0.0018036612108027418, 0.0018251121324323282, 0.0017375836297895267, 0.001764380976245585, 0.0018051517238216169, 0.001737132906762801, 0.0018398621721464404]",,
40:52.6,EDLSTM_nD_notf,../rnn_model/saved_pkl_model/EDLSTM_nD_notf.pkl,cuda:0,3.00E-05,2017,64,40,4,0.027612257,0.001392583,0.029462744,0.001737266,65/75,"[0.0015574208231142353, 0.0016310445356783857, 0.001564699987793171, 0.0015438728481453748, 0.0015306805906729602, 0.0015173044708400056, 0.0015169584745066524, 0.001512063519482261, 0.0015137436007371383, 0.0014992837437462071, 0.0014875687185063483, 0.0014868939846529629, 0.0014837047499875406, 0.001445768855239969, 0.0014272788820086548, 0.0014098900985591877, 0.001386089022451924, 0.0014045039240859058, 0.00143686943323741, 0.0015320037785076493, 0.0015151108025929212, 0.0015377753626728053, 0.0015477196355685695, 0.0015033124912197384, 0.0015017851649259844, 0.0015043024450328995, 0.0014909690307579686, 0.0014863415508997986, 0.0014872909517097094, 0.0014940474580307788, 0.0015154473242992303, 0.0014980950214128705, 0.0014587145832746478, 0.0014932730797564719, 0.0015056334033484605, 0.00143397127863773, 0.0014622558548097134, 0.0014839970440296791, 0.001420778518418815, 0.0014680532094896088, 0.001439961289710925, 0.0013960546216027104, 0.001450302480646458, 0.001427307987290272, 0.001399355118518948, 0.0014268964112393167, 0.0014156715364267642, 0.0013849690185351571, 0.001416356647045318, 0.0014318139630903868, 0.0013801878241762788, 0.0013949581216491883, 0.0014202167214554867, 0.001403969775116551, 0.0013880232846302462, 0.001407540978772251, 0.0013976559459574912, 0.0013600076896066254, 0.0013843417286013777, 0.001414494472394576, 0.001369275099796519, 0.0013686267462677717, 0.001397782480544114, 0.0013713581255995707, 0.0013469720828163739, 0.0013925831931336187, 0.0013878684880475093, 0.0013475247589133453, 0.0013727099408003453, 0.0013876060998438758, 0.0013457222306685539, 0.0013488333601661935, 0.001386563059515281, 0.0013358545437367462, 0.0013367172754356776, 0.0013756250518882373]","[0.002076470167634802, 0.0020321418259603282, 0.0018061781560795174, 0.0018588393499764304, 0.001842756705203404, 0.001817455517852472, 0.001801794455645399, 0.001797102022424547, 0.001826033509698593, 0.001867404552952697, 0.0018920943225061314, 0.001895857436142655, 0.0018777901571916623, 0.0017735077921922008, 0.0017729846961123661, 0.0017690773548868796, 0.0017399605227789532, 0.0017523580418330514, 0.0017918310031139603, 0.0018397505032933421, 0.0018190201307233009, 0.0019233596860431135, 0.002030034283719336, 0.0018992170432789459, 0.0019395330280531197, 0.0019442983282109102, 0.0019461340464962025, 0.0019381978853036546, 0.0018834983496668024, 0.0017941184115544376, 0.0017774928270632194, 0.001919819487698583, 0.0019286753913749838, 0.0017755660176691083, 0.0018654615831716606, 0.001926830561650503, 0.0017750524062042435, 0.0018714008982189828, 0.0018581491875617453, 0.0017579097488325916, 0.0019000820518057379, 0.0018210943561926898, 0.0017591501890112543, 0.0018809127763638066, 0.0017935220792423933, 0.0017509663031281284, 0.0018377750290609481, 0.0018461777065466676, 0.0017481124384276982, 0.0018067261191188461, 0.0018929451826908109, 0.001802844006387103, 0.0017532841134299006, 0.0018529567764037184, 0.0017958462671635465, 0.001745873998152092, 0.0018375841370369824, 0.001842285723089137, 0.0017457591182190096, 0.0017753127419079344, 0.0018554736672538436, 0.0017824982402897956, 0.001775774200602124, 0.0018252726217421393, 0.0017927302034675247, 0.0017372655539980365, 0.001816347831239303, 0.0018245039055020445, 0.0017589944712300268, 0.001791556109027523, 0.0018474218965921965, 0.0017577463870919827, 0.0017584220907236967, 0.0018521808120163365, 0.0017743454554066476, 0.0017585496773891566]",,
41:13.9,EDLSTM_nD_notf,../rnn_model/saved_pkl_model/EDLSTM_nD_notf.pkl,cuda:0,3.00E-05,2017,128,40,4,0.027336704,0.001346319,0.029614064,0.001726373,137/145,"[0.001523071320520507, 0.0016040370618510577, 0.0016200250777829853, 0.001622037987302368, 0.001575790835906648, 0.0015284721991823365, 0.0015974609640478673, 0.0015145576326176524, 0.0015558951812434114, 0.001503444787684, 0.0015461959106485464, 0.001488825567584071, 0.0015472021794670986, 0.0014757904372850639, 0.0015470482008014287, 0.0014801650185189727, 0.0015298559395078984, 0.00150975821306929, 0.0014853827765263204, 0.0015361173602286727, 0.001467021871616857, 0.0015374900727894985, 0.0014578463044017554, 0.0015285635806827082, 0.0014512257779844932, 0.001518483763276082, 0.001453166120659767, 0.001509733159845281, 0.0014685730462790363, 0.001493478442231814, 0.001467125161111148, 0.0014789864155722574, 0.0014630134754245066, 0.0014531194213001678, 0.0014940641581132595, 0.0014425481423839099, 0.0014844163624931955, 0.0014855770310128315, 0.0014473406973087954, 0.001511271359373091, 0.0014577823283616453, 0.0014965777738123304, 0.001496749670089533, 0.0014801174880833261, 0.0015396516129840166, 0.001447254654744433, 0.0015537235950533715, 0.0014442376158614126, 0.0015497067813865012, 0.0014386392657696786, 0.0015460426459968505, 0.0014611786005035456, 0.0014947927673347294, 0.0015356914340777115, 0.0014391929156974785, 0.001548810184855635, 0.0014126247396537414, 0.00148305455998828, 0.0014234500251606936, 0.0013794580086444815, 0.0013886622289040436, 0.0013920769871522984, 0.0013952142429641552, 0.0013934518863809192, 0.0013933367690899306, 0.0013921634837364158, 0.001382638287032023, 0.0013771439611446113, 0.0013772773750436802, 0.0013811386442588022, 0.0013787761550500162, 0.0013719718275953911, 0.0013661244250316588, 0.0013668354801161008, 0.0013615981594840478, 0.001365067962776973, 0.0013597553602368053, 0.001373715249873284, 0.0013879248452010667, 0.0014100609735275308, 0.0014370005836503374, 0.0014155871622885266, 0.0014027919025263852, 0.0014987045595060205, 0.0014472292296381461, 0.0014564555261232374, 0.0014813397157316408, 0.0014288316286789873, 0.0014746062528704189, 0.0013937791175622908, 0.0014360703514992362, 0.0014547470058055801, 0.0014029727938274542, 0.0015008172654132877, 0.001366284498039426, 0.0014817057791838629, 0.001387361725533588, 0.0014103391893311506, 0.0014720631840949257, 0.0013681826524488214, 0.0014673766447231174, 0.0014199300488043163, 0.0013645662913202412, 0.0014804825924026469, 0.00138712344212561, 0.0013896813952467507, 0.001477394018244619, 0.0013667858904227615, 0.0014015472507000798, 0.0014714159356016253, 0.0013537553662899882, 0.0013982119688686603, 0.0014509946832226383, 0.001344000390316877, 0.0014100360612954116, 0.0014464789813953556, 0.001334958360530436, 0.0014204578946292814, 0.0014374478448492785, 0.0013310059413520826, 0.001424705289537087, 0.0014316413661516788, 0.0013359183031651709, 0.001416102549733801, 0.0014309475146647957, 0.0013299513540308303, 0.0013969076364042444, 0.0014390461929401177, 0.0013338242114211121, 0.001390119385258812, 0.0014377842650800529, 0.0013318801298737525, 0.00137687098273697, 0.001438105191078244, 0.0013329313162507282, 0.0013622835440198994, 0.0014412939445012146, 0.0013463185007114792, 0.0013420190636275542, 0.0014325064341796354, 0.0013555626093875617, 0.0013206024628339543, 0.001425619923328567, 0.0013683885200104365, 0.0013085018390686148, 0.0014046503631915484]","[0.0018819240672099922, 0.0020568721358560854, 0.0018454361512946587, 0.0018590055651859277, 0.0020070531534858876, 0.001916625335191687, 0.0018209949122845299, 0.0019449486293726496, 0.0018070352703539862, 0.0019155807198128767, 0.0018123232772470348, 0.001887554890062246, 0.0018301635463204649, 0.0018493936164304613, 0.0018662091318724884, 0.0018111856641351348, 0.0019026169656879372, 0.0017953075326254799, 0.0018813369123058187, 0.0018221120246582562, 0.0018464092540347741, 0.001848242915649381, 0.0018177426795268224, 0.0018634017505165603, 0.0018037470005866554, 0.0018531080348313683, 0.0018128937511290941, 0.001848715349721412, 0.0018291772731269399, 0.001808832241739664, 0.001860309588826365, 0.0017787220642074115, 0.001845600140384502, 0.0018017131861092317, 0.0018175964204904934, 0.0018528154611380564, 0.0017835937233434784, 0.0018867590180080798, 0.0018104217312712636, 0.001818830468174484, 0.0019020049082529213, 0.0017697311252252096, 0.0019346778927784828, 0.0017970076581049297, 0.001917502201265759, 0.0018153846703676713, 0.001920756268211537, 0.0018234039915518629, 0.0019168750667530629, 0.0018056172993965447, 0.0019556201968549025, 0.0017644366236507065, 0.001955386740155518, 0.0017945057389119434, 0.001877166253204147, 0.001874660511708094, 0.0017810506603887512, 0.0018755816311265031, 0.001774463232140988, 0.0017575860579705073, 0.0017619193531572819, 0.0017612725573902329, 0.001760983966394431, 0.0017633664111296335, 0.0017649977571434444, 0.0017641218029893935, 0.0017622280852972634, 0.001761160780572229, 0.0017734218725106781, 0.0017818168646449016, 0.0017766948530657423, 0.001763877129026999, 0.0017564672006604573, 0.0017658462036504513, 0.0017716153524816036, 0.0017871010996815232, 0.0017714793612766597, 0.0017986550332150526, 0.0017537293295996883, 0.0017357443226501345, 0.0018174432140464585, 0.0019155360033942593, 0.001876247676813768, 0.0017591338294247786, 0.001970343682397571, 0.0017439471855242219, 0.0019910842645913364, 0.0017625950160436333, 0.0018958834931254386, 0.001743307638551212, 0.0019187360795007813, 0.001753008611396783, 0.0018725331251819928, 0.0018203517357404861, 0.001795820734049711, 0.0018987132908983362, 0.0017430464568961826, 0.0018988405095620288, 0.0017978918622247875, 0.0017867177375592291, 0.0018889786649702324, 0.001754735189024359, 0.0018548774144922693, 0.0018906355628536806, 0.0017559234466817644, 0.0018733897660341528, 0.001841174632621308, 0.0017446734476834536, 0.0018807895662676956, 0.001816068602622383, 0.0017422601735840241, 0.0018684813468199638, 0.0018067744612279865, 0.0017577071376662287, 0.0018967649252671335, 0.0018019159893608756, 0.0017701771187906463, 0.001902142938019501, 0.0017805776209570468, 0.0017743140601346062, 0.00189333263422466, 0.0017793368910335831, 0.0017643462271533079, 0.0018759368427304758, 0.0017847680926529898, 0.001752564057500826, 0.0018715368014656836, 0.001796798323953731, 0.001748542497969336, 0.0018780838698148727, 0.0018161644124322467, 0.0017426754723096059, 0.001861007421070503, 0.00180920976628032, 0.0017315926651159921, 0.0018507420525161757, 0.0018346347069988648, 0.0017263734739066826, 0.0018284206045791507, 0.0018553639348182413, 0.0017341803668791222, 0.0018195999294726385, 0.0018761278518165151, 0.0017450088842047586, 0.0017917342121816344, 0.0018796471464965078]",,
42:39.0,EDLSTM_nD_notf,../rnn_model/saved_pkl_model/EDLSTM_nD_notf.pkl,cuda:0,3.00E-05,2018,128,40,4,0.028378893,0.001465593,0.02954568,0.001767167,115/135,"[0.004974301324303572, 0.0031507450382276957, 0.0018374157338661866, 0.0020843106244380276, 0.0015709482689595057, 0.0016986896671975652, 0.0015941175819736801, 0.0016399688449584776, 0.0016935953029638363, 0.0015108935114565409, 0.0015677603918852077, 0.001595743444825833, 0.0014953468318304253, 0.001587877359189507, 0.0015975045919832257, 0.0014992667937703016, 0.001556554951498078, 0.001533616515290406, 0.0014754779235873784, 0.0015477666366172749, 0.0015107692963081515, 0.0014893275174674475, 0.001543839765428048, 0.0014823786506894976, 0.0015287664085109202, 0.0015319604562440267, 0.0015147787654617181, 0.0015836890664003376, 0.0015323984177990093, 0.0015774928712441276, 0.0015284900527654422, 0.0015468608478032466, 0.0015358409042366677, 0.0015282407648757928, 0.0015273497375245723, 0.0015174889768887726, 0.0015222756411983735, 0.0015224239523781258, 0.0015056535899121727, 0.0015277352927821793, 0.0014962997895458506, 0.001547359721088368, 0.0014779680958276408, 0.0015515243524633763, 0.0014793853139660011, 0.0015422444900549533, 0.001505817487810014, 0.0015169712624305653, 0.0015464078331004, 0.0014846909784763638, 0.0015707621661325297, 0.0014724363488817795, 0.0015778360532648448, 0.0014731335026832919, 0.0015732102891585478, 0.001490997217155786, 0.0015562723436030662, 0.0015088269183050013, 0.001544748650242885, 0.001525058886424328, 0.001530742794016583, 0.0015365449918640984, 0.0015330371589192915, 0.001530249897364734, 0.0015289593675536, 0.0015273150832702715, 0.0015404690807271336, 0.0015067454524493465, 0.0015494525536066956, 0.0014917293699303021, 0.0015714588005923563, 0.0014653099771951223, 0.0015854183991905301, 0.0014505893289525477, 0.0015926641024028262, 0.0014491601801839553, 0.0015761145713946057, 0.0014568791770014084, 0.0015516930220959087, 0.0014891605099870099, 0.001503270078683272, 0.0015152555980926586, 0.0014775546539264421, 0.0015517303332065542, 0.0014421924185525211, 0.0015476598928216845, 0.0014361417431953466, 0.001547448467075204, 0.0014411092464191217, 0.0015197886975430366, 0.0014603720725669216, 0.0014968462721703366, 0.0014871598926321087, 0.0014635331120290277, 0.0015027745788554765, 0.001445939596871742, 0.0015197931924679628, 0.0014303262216142482, 0.001518444534546385, 0.0014271780880840703, 0.0015184454264171008, 0.0014248628790179889, 0.0015071835743987725, 0.0014246996369264605, 0.0015027193359047589, 0.0014415031906941699, 0.0014844402839015755, 0.0014464743862239024, 0.0014734704170324322, 0.001459691512476032, 0.0014564492620087954, 0.0014627178503562592, 0.0014589520268297443, 0.0014701157860043976, 0.0014490442214688908, 0.001465592916873801, 0.0014542549492843036, 0.0014748060480794974, 0.001447824483168208, 0.0014770538572015034, 0.0014482398860208277, 0.0014874245628662822, 0.0014438844848579417, 0.0014874003769364207, 0.0014426073030335829, 0.0014942801259975466, 0.0014293671572684413, 0.0014949567603050834, 0.0014330616919323801, 0.0015021431550849228, 0.0014313696288607188, 0.0015048255671798768, 0.0014339685905724764, 0.0015105174375801451, 0.0014267035423674518, 0.0015130299673829643]","[0.0020598972759520015, 0.0025375224830996657, 0.0024938043129319946, 0.0020784814298773807, 0.0019337066087043947, 0.002042251918464899, 0.0018818316851846046, 0.0020689332857728006, 0.0019244917590791981, 0.0018350733715730408, 0.0019690580045183498, 0.0018620626043735278, 0.0018553373675482968, 0.001973089798250132, 0.0018672672139170268, 0.0018495676883806785, 0.0019172001966378755, 0.00181548614313619, 0.001846841505418221, 0.0018923322204500437, 0.0018064523853051166, 0.001870723821533223, 0.0018539011530164216, 0.0018149449347725345, 0.001890960449559821, 0.0018248525538688731, 0.001888820949372732, 0.0018820722212290599, 0.001856080239586946, 0.0018958388180989358, 0.0018189911691782374, 0.0019006749071801702, 0.0018116405414831307, 0.0018896224003078208, 0.0017974883240337173, 0.001892641843813989, 0.0017998885337470307, 0.0018929584702062937, 0.0017888231629816195, 0.0018955977581855323, 0.001807162804632551, 0.0018715729238465428, 0.0018447963999480837, 0.0018339174644400676, 0.001901995522590975, 0.0017875745801979469, 0.001941762179032796, 0.001783344276352889, 0.001939525576825771, 0.0018200433489659593, 0.0018930354233210286, 0.0018788257329207328, 0.0018386058379999464, 0.001926355581316683, 0.0018033611549374958, 0.001966496321579648, 0.0017811557743698358, 0.001977881458070543, 0.0017786738643836644, 0.0019932258408516647, 0.0017741137171267635, 0.0019894358003512023, 0.0017741806067836782, 0.001998369294839601, 0.0017740254988893867, 0.001988997134483523, 0.0017750836908817292, 0.001989771298960679, 0.0017841976821526056, 0.001963978519456254, 0.0018025910300720068, 0.0019485795818683174, 0.0018422352124212516, 0.0018958108422035972, 0.0018835968415563304, 0.0018487050857705376, 0.0019325220569347342, 0.0017992426783570814, 0.001954707730975416, 0.001774411159567535, 0.0019618067217783797, 0.0017808849587001734, 0.0019381627285232146, 0.0018093269033771422, 0.0018882983959176475, 0.001845429132744256, 0.0018406119870228899, 0.0018865795340389014, 0.001796680780696786, 0.0019151608356171184, 0.0017756575201120642, 0.0019257290495766533, 0.0017702672113147047, 0.001915449900035229, 0.00178116655184163, 0.0018970139143574568, 0.0018088418162531322, 0.0018604355346825388, 0.0018269730887065332, 0.001845012263705333, 0.001862117311813765, 0.0018085562041960657, 0.0018723722366202208, 0.001798950380180031, 0.0018990264067219364, 0.001778173960176193, 0.0018976967885262436, 0.001774047436710033, 0.0019102522249644, 0.0017686838180654579, 0.0018998088910140926, 0.001768410292505804, 0.001914098129297296, 0.001769446205192556, 0.0019061498602645265, 0.0017671668113002346, 0.001917629994245039, 0.0017721060262475576, 0.0019074512179940938, 0.0017690351840832996, 0.0019182601736651528, 0.001777432344129516, 0.0019076433265581727, 0.0017750183379070627, 0.0019175804659931196, 0.001787317090202123, 0.0019028468652524883, 0.0017826511201241779, 0.0019150980955196751, 0.0017988148817999496, 0.0019019270884907907, 0.0017892392934300005, 0.0019172861939296126, 0.0018061729768911996, 0.001906103418312139, 0.0017973902945717176]",,
09:50.7,EDLSTM_nD_notf,../rnn_model/saved_pkl_model/EDLSTM_nD_notf.pkl,cuda:0,3.00E-05,2018,128,40,4,1000,1000,1000,1000,0,"[1, 2, 3]","[1, 2, 3]",,
