start_time,model_name,model_pkl_path,device,learning_rate,batch size,encoder_sequence_length,decoder_sequence_length,best_train_l1_loss,best_train_mse_loss,best_valid_l1_loss,best_valid_mse_loss,epoch_for_best_valid_loss,train_mse_curve,valid_mse_curve
2019-10-27 11:50:12.465541,EDLSTM,../rnn_model/saved_pkl_model/EDLSTM.pkl,cuda:0,1e-05,32.0,15.0,8.0,0.19758608578501388,0.05825574794487275,0.1955589397053281,0.06134901296643864,1.0,"[0.11721330675436724, 0.058255747944872746]","[0.0811362735024258, 0.06134901296643862]"
2019-10-27 12:31:23.815660,EDLSTM,../rnn_model/saved_pkl_model/EDLSTM.pkl,cuda:0,1e-05,32.0,15.0,8.0,0.08756016384886235,0.013665452640107077,0.074942884551321,0.01064202079646584,152.0,"[0.12015791901660045, 0.06479421862279323, 0.050274433114016776, 0.041695014328602856, 0.03885798365333859, 0.03772891816871638, 0.037435645234482895, 0.03701313420713063, 0.03629663499083495, 0.03576656760338651, 0.036727539059730176, 0.036012814120300655, 0.03438869092903181, 0.03510520622849267, 0.03444888404998425, 0.03414736708736081, 0.034014555100111164, 0.03393805292792006, 0.0339054957502745, 0.034421837561950296, 0.03400114536340879, 0.0334013596914762, 0.033273184954528315, 0.03311034377871859, 0.03287900533625764, 0.03305437545699437, 0.03293672720123426, 0.03279363805139453, 0.03249965675310804, 0.03221602194931746, 0.03217847712884538, 0.0317680214917502, 0.03192130597416153, 0.031973808857941585, 0.03193193345170898, 0.03170842688707393, 0.031524503792616065, 0.03153354528689345, 0.03159472196873008, 0.0312906158040085, 0.031130738100227043, 0.031065256236212497, 0.03082917765105504, 0.030947984891783877, 0.030602792165947433, 0.030552104873181014, 0.03023027050860074, 0.03021101788728114, 0.030578359647130546, 0.03039185066696645, 0.03003220935287935, 0.029777851605030693, 0.029504938147678534, 0.02954548884643436, 0.029320409780361018, 0.028541283773425793, 0.028667134324256157, 0.028378045987245363, 0.02828986268085764, 0.028032654757168138, 0.028203939961478058, 0.028155137457043934, 0.028321947299367278, 0.027584517385935953, 0.026636911708691043, 0.026090080688013533, 0.025577213513981848, 0.024201554581687323, 0.023274052419668394, 0.02287795786091917, 0.02213860582842831, 0.021753801725870558, 0.021490045009469598, 0.021847165636081297, 0.021963676510422896, 0.022375093033291726, 0.022551337865751978, 0.02226567650147058, 0.02263054268725393, 0.022335153391561124, 0.02214301708557628, 0.021529023745135746, 0.021500807162528366, 0.02216477665312535, 0.02156465136334588, 0.02104557493277268, 0.019422561347369523, 0.018571918562899144, 0.01830557135606192, 0.018060821793784407, 0.017974946747795446, 0.017728544863365215, 0.018324915943302572, 0.017806858559674853, 0.016577165136170267, 0.016649489179541246, 0.01687985673619735, 0.01799834791675695, 0.018092171976089033, 0.018050851022965397, 0.01846077232233773, 0.018307318881932818, 0.01676631205798971, 0.015850957404458417, 0.015623635052247677, 0.015885751565761136, 0.016134241794406035, 0.01629990156661869, 0.015923082251132554, 0.015503005717428462, 0.01596542133400561, 0.015498627043728317, 0.015241127010944449, 0.015183150061954304, 0.015103815742437016, 0.014656849393504992, 0.01424206380300343, 0.014163034371939224, 0.014321044689970029, 0.014457695822601844, 0.014412528011275962, 0.014556670088323025, 0.01401364275778788, 0.014518140406556884, 0.01443999011677747, 0.01420218165593003, 0.013873669145997641, 0.014038202750419, 0.014557609609412969, 0.014056124522823838, 0.013941100675004477, 0.014052253854766661, 0.014458435338958317, 0.014564269931470154, 0.01472509473842716, 0.014198189071172585, 0.014090487411398784, 0.013490154997122531, 0.013009489381144422, 0.01319035085794499, 0.013803779013748746, 0.013717522635086098, 0.014004208891094142, 0.014253745008346311, 0.01376313489660933, 0.014052375160944656, 0.014271697639223133, 0.014216774956965834, 0.013531184300905637, 0.013293548699024545, 0.01323412610572376, 0.013728128801116908, 0.013665452640107075]","[0.07552418210325937, 0.05945117643861797, 0.0349191649433346, 0.03176248197949646, 0.03418030650371672, 0.03404086187110021, 0.032178844521642935, 0.031446626673707165, 0.03549926705062122, 0.026118535283792148, 0.035481183428699214, 0.0219204665853461, 0.023113929476880422, 0.03211309857626291, 0.027068381526058526, 0.0334625799810219, 0.027977465419098735, 0.029357966396575726, 0.02874444604502897, 0.029699568539563057, 0.028574043367285844, 0.02745651681622718, 0.027175251109753367, 0.028026855039400243, 0.02577345120626763, 0.025845773203177845, 0.02531797003181879, 0.026218540773462345, 0.025641379443251882, 0.02506470628226806, 0.026415070839621555, 0.026111991079808917, 0.028993268103653685, 0.02605936995694052, 0.02631014064892376, 0.028004173129100165, 0.02491213894732256, 0.023986127694881114, 0.023428421966285987, 0.025678107648980705, 0.023533778804481674, 0.025870741372626516, 0.025017371184273, 0.023057125288936168, 0.02277805366287035, 0.024757685711801643, 0.02317375057417122, 0.02402772064732803, 0.026144233160390915, 0.023746353008770954, 0.022857269943899496, 0.02349985047518242, 0.022267188130636707, 0.022203680123671514, 0.022321520893325317, 0.02243502068303177, 0.021982294063438938, 0.02125968370400704, 0.022010187330327446, 0.02171432852440199, 0.02167713630060069, 0.02368915740320151, 0.02146179573660676, 0.02226610305943533, 0.022279299351741836, 0.023313171274645134, 0.02154036212910181, 0.020497390391931554, 0.02196383444264049, 0.020146800718511448, 0.018289098292488686, 0.018821368460449652, 0.017327478376599096, 0.022754819829204527, 0.02339824779870377, 0.01637159964813442, 0.018580194102037404, 0.022601280076657054, 0.02104239549032218, 0.026406486667759663, 0.021387105507829744, 0.02158479350736271, 0.021519415536158378, 0.021311208135917407, 0.020835409528013025, 0.02149654759208022, 0.0162166363506062, 0.01594072832682391, 0.0149913300992921, 0.01529948926353224, 0.014194675804980152, 0.014670966388222179, 0.017231513452950677, 0.01605667390612711, 0.013377415713110416, 0.015300091591382252, 0.01518584844755116, 0.017445576968502335, 0.02180446171714328, 0.019911310883413115, 0.020113482994694103, 0.021904719001848063, 0.01527937301334074, 0.014522231594331081, 0.016509944333513972, 0.016513110110000204, 0.01496209696826371, 0.016451761195194915, 0.0174999106658636, 0.021300543593778778, 0.01712022751080636, 0.01415742434001789, 0.013516282341979016, 0.015483924175994538, 0.015097224210529663, 0.014062418671502404, 0.014586284267548606, 0.014609555904787007, 0.015603530016751197, 0.014543442432467135, 0.01510252545691571, 0.013416964461082231, 0.014450656895009842, 0.016136377543988202, 0.018487504692438306, 0.014472851507104397, 0.016430939756260126, 0.01635488568011189, 0.015538144550577691, 0.016059963095417285, 0.012591776759246458, 0.018823316232627927, 0.015023853857633022, 0.01219330083330919, 0.013502143436067959, 0.01563869320440756, 0.016109042187060545, 0.0148446816890735, 0.014819779019575003, 0.014825506078869961, 0.0169463066866608, 0.015133992161621883, 0.017917668965323527, 0.011823408035544693, 0.01355206695252949, 0.01594325636593933, 0.015749933472382266, 0.012577046000351795, 0.015735316181994252, 0.013962222781642039, 0.015177355168417445, 0.012672531797061506, 0.010642020796465841]"
2019-10-27 20:14:11.200605,EDLSTM,../rnn_model/saved_pkl_model/EDLSTM.pkl,cuda:0,1e-05,32.0,15.0,8.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-10-28 00:26:45.794319,EDLSTM,../rnn_model/saved_pkl_model/EDLSTM.pkl,cuda:0,1e-05,32.0,15.0,8.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-10-28 00:30:19.960116,EDLSTM,../rnn_model/saved_pkl_model/EDLSTM.pkl,cuda:0,1e-05,32.0,15.0,8.0,182.58963182704983,36773.42335950428,159.41872694166443,28391.53860056486,3.0,"[39506.245129576324, 38219.3885048952, 37392.871853238765, 36773.423359504275]","[30372.423188792716, 29492.85315556149, 28880.65096672662, 28391.53860056486]"
2019-10-28 00:33:10.587248,EDLSTM,../rnn_model/saved_pkl_model/EDLSTM.pkl,cuda:0,0.001,32.0,15.0,8.0,106.60396888173223,15745.548091124649,43.78199459837495,2461.6586193523817,0.0,[15745.548091124647],[2461.6586193523817]
2019-10-28 01:01:44.667448,EDLSTM,../rnn_model/saved_pkl_model/EDLSTM.pkl,cuda:0,0.0003,32.0,15.0,8.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-10-28 01:02:07.391598,EDLSTM,../rnn_model/saved_pkl_model/EDLSTM.pkl,cuda:0,0.0003,64.0,15.0,8.0,38.41411261105907,2190.008988336222,28.965792813747054,1236.5798069796115,8.0,"[33911.87460765039, 24926.790841007863, 18397.003467551393, 13439.599559792356, 9655.69098156388, 6851.689580854201, 4747.377829983271, 3197.040408372353, 2190.008988336222]","[21842.648202141412, 15456.473320611089, 10830.708684139114, 7469.9278462361945, 5118.045612362649, 3416.3742511118057, 2315.3422996466106, 1517.2607239647734, 1236.5798069796117]"
2019-10-28 01:17:33.686586,EDLSTM,../rnn_model/saved_pkl_model/EDLSTM.pkl,cuda:0,0.0003,64.0,15.0,8.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
2019-10-28 01:33:19.437380,EDLSTM,../rnn_model/saved_pkl_model/EDLSTM.pkl,cuda:0,0.0003,64.0,15.0,8.0,1000.0,1000.0,1000.0,1000.0,0.0,"[1, 2, 3]","[1, 2, 3]"
